"CFR";"loa"
10446;5.13
10448;5.6
10449;5.6
1045;17
10450;5.45
10451;6.39
10452;5.55
10453;5.8
10454;5.5
10455;6.5
10456;6.1
10457;6.15
10458;6
10459;6.5
1046;10.6
10460;5.8
10462;6.19
10463;6.17
10465;6.52857142857143
10466;6.2
10467;6.1
10468;6.15
10469;6.79
1047;10
10470;5.84625
10471;6.1
10472;8.38
10473;7
10474;6.4
10475;6
10476;22.3
10477;19.4
10478;5.66
1048;18.45
10480;28.13
10481;6.9
10482;26.34
10483;26.68
10484;6
10485;23.55
10486;21.3
10487;25.7
10488;22.1
10489;26.18
1049;7.06
10490;24.1
10491;21.4
10492;23.8
10493;25.65
10494;21.58
10495;22.05
10496;28.67
10497;22.19
10498;6.6
10499;4.98
105;4.24
1050;12.22
10500;7.08
10501;4.85
10502;5.5
10503;4.95
10504;4.92
10505;5.1
10506;4.94
10507;5.75
10508;6.2
10509;4.95
1051;10.9
10510;6
10511;6.2
10512;6.08
10513;5.58
10514;6.16
10515;6.3
10516;4.93
10517;4.05
10518;5
10519;6.5
1052;17
10520;7.34
10522;12.24
10523;4.902
10524;3.8
10525;4.9
10527;4.95
10528;20.6
10529;17.4988888888889
1053;19.5
10530;4.42
10531;24.9
10532;14.4571428571429
10533;17.53
10534;10.56
10535;4.96666666666667
10537;21.27
10538;11.65
10539;16.4
10540;5.85
10542;6.01
10545;11.8
10547;31.24
1055;9.94
10551;19.65
10552;12
10553;16.05
10554;6.59
10555;7.49
10556;6.8
10557;16.09
10558;16.96
10559;8.51
1056;7.21
10560;20.85
10561;17.35
10562;19.08
10563;19.65
10564;19.32
10565;20.7
10566;13.8066666666667
10567;22.02
10568;20.8
1057;18.67
10570;17.75
10572;16.18
10573;7.93
10574;20.9
10575;17.28
10576;7.77
10577;19.25
10578;8.8
10579;12.61
1058;5.55
10580;7
10581;20.59
10582;21.95
10583;16.2
10584;21.4
10585;21.77
10586;12.62
10587;17.64
10588;16.6
10589;6.9
1059;16.88
10590;16
10591;22.92
10592;19.6766666666667
10593;18.1
10594;21.26
10595;11.85
10596;22.15
10597;9.83
10598;20.95
10599;22.55
106;3.91
1060;23.5
10600;21.94
10601;22.18
10602;26.55
10603;17.67
10604;22.85
10605;20.7
10606;20.69
10607;21.2
10608;20.21
10609;22.38
1061;6.25
10610;9.26
10611;16.09
10612;17.7
10613;26.15
10614;22.89
10615;25.68
10616;19.25
10617;8.81
10618;21.55
10619;10.28
1062;9.1
10620;10.85
10621;11.74
10622;9.664
10623;17.5
10624;21.4
10625;11.05
10626;21.97
10627;24.65
10628;8.87
10629;18.06
1063;10.9
10630;19.95
10631;15.6
10632;8.62
10634;20.51
10635;19.07
10636;19.4
10637;9.15
10638;9.04
10639;5.3
1064;7.21
10640;7.12
10641;5.12
10642;9.02
10643;9.48
10645;6.95
10646;7.99
10647;6.13
10648;12.02
10649;12.78
1065;6.32
10650;24.36
10651;13
10652;6.2
10653;10.77
10654;7.32
10655;16.13
10656;7.87
10657;6.7
10658;16.45
10659;10.29
1066;10.65
10660;10.85
10661;8.44
10662;9.72
10663;7.66666666666667
10664;11.07
10665;20.32
10666;9.94166666666667
10667;10.92
10668;9.47
10669;19.94
1067;12.3
10670;8.73
10671;8.85
10672;6.6
10673;20.35
10674;6.8
10675;20.17
10676;7.9
10677;21.03
10678;15.33
10679;14.15
1068;11.05
10680;14.33
10681;13.9
10682;22.39
10683;15.09
10684;14.5
10685;22.62
10686;20.9
10687;20.11
10688;14.55
10689;14.89
1069;10.1533333333333
10690;13.9
10691;10.9
10692;12.79
10693;20.35
10694;7.31
10695;16.62
10696;7.35
10697;16
10698;10.2
10699;6.36857142857143
107;4.28333333333333
1070;16.08
10700;6.8
10701;12.6
10702;18.75
10703;18.2
10704;7
10705;8.44
10706;8.05
10707;17.7
10708;6.1
10709;9.77
1071;13.04
10710;8.96
10711;7.6
10712;20.28
10713;18
10714;13.52
10715;8.05
10716;8.2
10717;22.25
10718;9.87
10719;12.2
1072;10.73
10720;7.646
10721;9.95
10722;12.9
10723;7.70230769230769
10724;7.1
10725;14.32
10726;6.58
10727;20.64
10729;11.5
1073;11.515
10730;12.5
10731;18.9
10732;7.43
10733;14.15
10734;8.05
10735;16.82
10736;7.17
10737;21.25
10738;21.13
10739;9.2
1074;11.7671428571429
10740;14.96
10741;8.42
10742;18.36
10743;15
10744;15.36
10745;18.05
10746;7.8
10747;6.6
10748;7.55
10749;19
1075;8.6
10750;11.1
10751;11.5
10752;20.95
10753;7.7
10754;12.1
10755;7.85
10756;5.5
10757;18.98
10758;19.28
10759;18.5
1076;11.05
10760;12.6
10761;15
10762;18.7
10763;8.15
10764;7.35
10765;6.53
10766;6.25
10767;17.3
10768;12.7
10769;13.1
1077;11.8
10770;19
10771;10.9
10772;14.96
10773;15.84
10774;7.44
10776;14.95
10777;23.9
10778;13.34
10779;14.02
1078;10
10780;18.15
10782;14.55
10783;17.63
10784;11.85
10785;11.8
10786;9.4
10787;10.3
10789;5.9
1079;6.12
10790;4.81142857142857
10791;5.48
10792;5.01818181818182
10793;5.6
10794;4.83
10795;6.4
10796;5.12
10797;5.81
10798;4.93285714285714
10799;15.2
108;23.9
10800;7.65
10801;9.78
10802;16.8
10803;13.65
10804;6.8
10805;17.24
10806;21.9
10807;19.1
10808;10.34
10809;13.21
1081;60.06
10810;4.36
10811;11.0942857142857
10812;7.68
10813;7.23
10814;11.08
10815;5
10816;6.9
10817;9.6
1082;63.72
10820;6.07
10821;5.596
10822;5.65
10823;5.46
10824;5.3
10826;5.81
10827;5.84142857142857
10828;5.98
10829;6.2
1083;63.71
10830;11.825
10831;6.07
10832;7
10833;6
10834;6.7
10835;5.23
10836;7.35
10837;23.85
10838;5.48
10839;8.45
1084;73.15
10840;24.9
10842;28.852
10843;16.65
10844;6.76
10845;7.6
10846;7.7
10847;5.48
10849;17.45
1085;63.73
10850;16.81
10851;18.65
10852;17.88
10853;16.25
10854;18.6
10855;12.58
10856;16.81
10857;18.2
10858;9.9
10859;17.73
1086;66.93
10860;6.44
10861;7.59
10862;5.98
10864;6.02
10865;18.7
10866;19.3
10867;16.06
10868;18.1
10869;20.05
1087;73.17
10870;18.05
10871;17.28
10872;7.3
10873;17
10874;7.15
10875;20.17
10876;17.6
10877;6.41
10878;7.05
10879;19.54
1088;66.93
10880;17.54
10881;19.08
10882;19.2
10883;19.2
10884;17.85
10885;18.01
10886;18.3
10887;17.86
10888;17.34
10889;17.88
1089;59.06
10890;18.81
10891;17.53
10892;21.64
10893;18.97
10894;7.55
10895;6.9
10896;8.42
10897;16
10898;6.2
10899;20.25
109;5.06
1090;67.97
10900;17.1
10901;18.5
10902;7.9
10903;18.72
10904;17.09
10905;7
10906;19.33
10907;20.56
10908;7.63
10909;21.93
1091;71.15
10910;7.4
10911;24.4
10912;20.26
10913;18.01
10914;19
10915;6.9
10916;17.9
10917;8.55
10918;5.85
10919;19.25
1092;68.03
10920;18.7
10921;20.38
10922;7.93
10923;18.77
10924;18.36
10925;19.03
10926;18.9
10927;6.52
10928;4.14090909090909
10929;6.65
1093;71.17
10930;19.2
10931;17.0857142857143
10932;17.26
10933;19.2
10934;20.78
10935;18.36
10936;20.46
10937;5.6
10938;19.6
10939;7.95
10940;19.85
10941;21.7
10942;19.65
10943;20.38
10944;6.12363636363636
10945;19.18
10946;19.6
10947;23.95
10948;17.72
10949;21.24
1095;4.14
10950;19.67
10951;19.26
10952;5.38
10953;25.66
10954;19.75
10955;22.08
10956;26.76
10957;12.08
10958;19.19
10959;19.86
1096;8.8
10960;8.18
10961;12.5
10962;10.15
10963;23.79
10964;23.14
10965;11.3
10966;24.1
10967;19.7
10968;27.59
10969;16.1363636363636
1097;6.9
10970;36.59
10971;11.94
10972;28.4
10973;17.4
10974;18.19
10976;10.335
10977;14.46
10978;17.97
10979;25.55
1098;7.75
10981;20.71
10982;13.5
10983;22.65
10984;19.35
10985;6.5
10986;8.44285714285714
10988;18.75
10989;11.57
1099;7.41
10990;8.41
10991;20.06
10992;7.15
10993;23.41
10994;19.68
10995;5.95
10996;5.7
10997;6.5
10998;11.49
10999;9.2
11;3.7
110;8.92
1100;5.18
11000;7.4
11001;8.35
11002;9.55
11003;18.51
11004;6.25
11005;11.58
11006;5.6
11007;12
11008;18.75
11009;9.8
1101;6.1
11010;6.2
11011;14.28
11012;11.4
11013;12.7
11014;17
11015;17.43
11016;19.71
11017;13.53
11018;12.91
11019;14.65
1102;6.54
11020;5.8
11021;13.05
11022;17.6
11023;23.05
11024;18.10875
11025;17.67
11026;8.45
11027;7.8
11028;11.3
11029;7
1103;6.82
11030;10
11031;7.788
11032;10.9
