"PORT";"LON";"LAT"
"LA MADDALENA";9.404814358;41.20893988
"LA SPEZIA";9.842472653;44.08457664
"LADISPOLI";12.07499062;41.93627543
"LAMPEDUSA";12.60079034;35.49428002
"LARNACA";33.64453361;34.92667254
"LE CASTELLA";17.02925023;38.90814932
"LEUCA";18.35701942;39.79299332
"LEVANTO";9.597358971;44.16180309
"LEVANZO";12.34305878;37.98391083
"LEYKADA";20.59482736;38.56282512
"LICATA";13.937545;37.09410585
"LINOSA";12.84761528;35.86267579
"LIPARI";14.96638331;38.46508413
"LIVORNO";10.29120199;43.54838224
"LIXOYRI";20.41205058;38.13696021
"LOANO";8.272557878;44.1296843
"MAHON";4.322318871;39.86001791
"MAIORI";14.63604609;40.64058673
"MANFREDONIA";15.91246116;41.62151531
"MARANO LAGUNARE";13.17289223;45.75285652
"MARATEA";15.70444621;39.98510244
"MARCIANA MARINA";10.1985519;42.81178712
"MARETTIMO";12.07659576;37.96725042
"MARFA CIRKEWWA";14.33173445;35.99028025
"MARGHERITA DI SAVOIA";16.04507735;41.42396424
"MARINA DI CAMEROTA";15.37447139;39.99505388
"MARINA DI CAMPO";10.25076386;42.73883174
"MARINA DI CARRARA";10.03959152;44.03144598
"MARINA DI GROSSETO";10.97754647;42.71103175
"MARINA DI PATTI";14.97311606;38.15679717
"MARINA DI PISA";10.26085795;43.67379875
"MARINA DI PISCIOTTA";15.22070385;40.1005782
"MARINA DI PORTOROSA";15.11032691;38.13129068
"MARINA DI RAGUSA";14.54729986;36.77623607
"MARINELLA DI SELINUNTE";12.83935768;37.5755639
"MAROTTA";13.14871733;43.77895703
"MARSALA";12.42737841;37.78638689
"MARSAXLOKK";14.55148158;35.81153073
"MARTINSICURO";13.9312483;42.89094358
"MARUGGIO";17.5635859;40.29673311
"MASSA LUBRENSE";14.33232724;40.61070501
"MASTICHARI";27.19979039;36.78264762
"MATHRAKI";19.52686734;39.78195165
"MAZARA DEL VALLO";12.56706655;37.61274613
"MEGISTI";29.68669637;36.13209182
"MELITO DI PORTO SALVO";15.77607333;37.91008688
"MESSINA";15.56234847;38.19177201
"MESTA";25.92855079;38.30569436
"META DI SORRENTO";14.40140098;40.64886936
"MGARR GOZO";14.30512807;36.02154885
"MILAZZO";15.24929764;38.21756444
"MOLA DI BARI";17.0996147;41.06336206
"MOLFETTA";16.59293198;41.21671899
"MONDELLO";13.34057458;38.20715833
"MONDRAGONE";13.85910603;41.11020557
"MONFALCONE";13.54721238;45.7738441
"MONOPOLI";17.30386944;40.9593525
"MONTALTO DI CASTRO";11.57764166;42.31502099
"MONTE DI PROCIDA";14.03942802;40.78997838
"MONTEROSSO AL MARE";9.644189061;44.14356248
"MSIDA MARSAMXETT";14.51949627;35.92891062
"MUGGIA";13.75996814;45.61247533
"NAPOLI";14.26844409;40.83548574
"NEAPOLI";23.02996384;36.47327911
"NOLI";8.422625623;44.20525924
"OGNINA";15.26200529;36.9786359
"OLBIA";9.516932908;40.92080558
"ORBETELLO";11.16583333;42.45694444
"ORISTANO";8.55262126;39.86328717
"ORTONA";14.41282793;42.35058428
"OTHONOI";19.42089063;39.84174078
"OTRANTO";18.50573602;40.14996349
"PALAIOKORA";23.68463152;35.22300987
"PALAU";9.392209477;41.19434776
"PALERMO";13.37590677;38.12172413
"PALINURO";15.27170041;40.03364445
"PALMA DE MALLORCA";2.647106129;39.54027647
"PALMI";15.85520938;38.39163396
"PANAREA";15.07934934;38.63757699
"PANTELLERIA";11.93570962;36.83757822
"PAOLA";16.0290452;39.34765219
"PEDASO";13.85403269;43.10094889
"PELLARO";15.62537938;38.01578869
"PESARO";12.90702524;43.92862022
"PESCARA";14.23036126;42.46866104
"PESCHICI";16.00887266;41.95097679
"PIANO DI SORRENTO";14.34698483;40.63876792
"PIOMBINO";10.54667876;42.93295665
"PIRAN";13.56249383;45.52548086
"PIZZO";16.15755675;38.73916692
"PLIMMYRI";27.86027808;35.92546419
"PONZA";12.96318107;40.8977198
"PORT VICTORIA";55.4658237;-4.622425431
"PORTICELLO";13.54116208;38.08866804
"PORTICI";14.33342361;40.80918056
"PORTO AZZURRO";10.43156828;42.7493389
"PORTO CESAREO";17.89351079;40.25292866
"PORTO CONTE FERTILIA";8.286998878;40.59024358
"PORTO CONTE TORRE NUOVA";8.210112657;40.59560362
"PORTO EMPEDOCLE";13.52676955;37.28241158
"PORTO ERCOLE";11.21136988;42.39588484
"PORTO GARIBALDI";12.25443626;44.67814457
"PORTO LEVANTE";12.41382649;45.04583601
"PORTO NOGARO";13.24165596;45.74647817
"PORTO PALO";12.90820809;37.57094827
"PORTO SAN GIORGIO";13.81633147;43.16783215
"PORTO SANTO STEFANO";11.12628535;42.44186835
"PORTO TOLLE";12.53608922;44.92680891
"PORTO TORRES";8.36667515;40.84464376
"PORTOFERRAIO";10.3267186;42.80913355
"PORTOFINO";9.219535557;44.30271471
"PORTOPALO DI CAPO PASSERO";15.1401038;36.68707813
"PORTOSCUSO";8.378121237;39.19870542
"PORTOVENERE";9.843366649;44.05165177
"POSITANO";14.48792947;40.61247578
"POZZALLO";14.83271041;36.71821074
"POZZILLO";15.20479661;37.66210723
"POZZUOLI";14.11547916;40.81211708
"PRAIA A MARE";15.76260576;39.89543336
"PROCIDA";14.03143784;40.77011225
"PULA";8.942035804;38.93375355
"PUNTA HIDALGO";10.7343672;42.81025922
"PYLOS";21.69186036;36.91880719
"RAPALLO";9.233066793;44.33861945
"RAVENNA";12.29582887;44.49293089
"REGGIO CALABRIA";15.63671724;38.12287205
"RETHYMNO";24.48209346;35.37920058
"RICCIONE";12.66519207;44.01018476
"RIMINI";12.57914941;44.0870035
"RIO MAGGIORE";9.736419138;44.08701399
"RIO MARINA";10.43759704;42.81177821
"RIPOSTO";15.22090599;37.73015554
"RIVA TRIGOSO";9.420887926;44.25112684
"ROCCELLA IONICA";16.43368504;38.32789762
"RODI GARGANICO";15.87798834;41.93330113
"RODOS";28.23054273;36.4526712
"ROSETO DEGLI ABRUZZI";14.04717355;42.65603756
"SAINT TROPEZ";6.665861714;43.288705
"SALERNO";14.74682169;40.6720023
"SAMI";20.67882006;38.29363609
"SAN BENEDETTO DEL TRONTO";13.89828795;42.9570057
"SAN CARLOS DE LA RAPITA";0.598007069;40.59474193
"SAN FELICE CIRCEO";13.10108482;41.2268268
"SAN REMO";7.784886315;43.81664473
"SAN VITO LO CAPO";12.74164481;38.18947209
"SANT AGATA DI MILITELLO";14.6240945;38.07571148
"SANTA FOCA DI MELENDUGNO";18.41029994;40.30399119
"SANTA MARGHERITA LIGURE";9.219540736;44.32957862
"SANTA MARIA DI CASTELLABATE";14.94036368;40.29974345
"SANTA MARIA LA SCALA";15.18772692;37.6107594
"SANTA MARINA SALINA";14.8759363;38.55808155
"SANTA MARINELLA";11.86081528;42.02622381
"SANTA POLA";-0.562899437;38.18185363
"SANTA TERESA DI GALLURA";9.197203689;41.2554843
"SANTANTIOCO";8.476856888;39.03288428
"SANTO STEFANO DI CAMASTRA";14.33760284;38.12052481
"SAPRI";15.61758009;40.06260769
"SAVELLETRI";17.41182771;40.875997
"SAVONA";8.488678548;44.31204032
"SCALEA";15.75945687;39.83272641
"SCARIO";15.49846809;40.05275005
"SCHIAVONEA";16.54621111;39.65475446
"SCIACCA";13.07663774;37.49405705
"SCILLA";15.71667553;38.2589734
"SCOGLITTI";14.42510401;36.89155163
"SENIGALLIA";13.22441869;43.72371644
"SESTRI LEVANTE";9.393237781;44.26739536
"SFERRACAVALLO";13.27609057;38.21150675
"SIBARI";16.49601855;39.77518885
"SIGRI";25.84167298;39.20709563
"SILVI";14.12430171;42.56849835
"SIRACUSA";15.31522936;37.06076439
"SISTIANA";13.62760199;45.76538811
"SITEIA";26.12282164;35.21317782
"SKALA KAMEIROY";27.81873072;36.28063826
"SOLENZARA SARI SOLENZARA";9.403832843;41.85527705
"SORRENTO";14.37602887;40.63367193
"SOVERATO";16.5572576;38.68797502
"SPATAFORA";15.37958195;38.24149385
"SPERLONGA";13.43486996;41.25101242
"STAZZO";15.19970464;37.64549146
"STINTINO";8.232455297;40.93310034
"STROMBOLI";15.24680967;38.79250545
"SYMI";27.84410958;36.62628658
"TALAMONE";11.14010626;42.55604616
"TARANTO";17.23634823;40.46003212
"TERMINI IMERESE";13.7125151;37.98696792
"TERMOLI";15.00469825;42.00286194
"TERRACINA";13.25961078;41.28527528
"TERRASINI";13.07258487;38.16144821
"TORRE ANNUNZIATA";14.44761935;40.74060874
"TORRE CESAREA";18.46509034;40.03325879
"TORRE DEL GRECO";14.36129679;40.78588294
"TORRE GAVETA";14.036452;40.81531786
"TORREGRANDE";8.515615955;39.90110975
"TORTORETO";13.94827784;42.80987727
"TORVAIANICA";12.45118325;41.61455084
"TRANI";16.42301877;41.2820126
"TRAPANI";12.50324465;38.01097778
"TREBISACCE";16.54414462;39.86489811
"TREMITI";15.49267718;42.13578922
"TRICASE";18.40029477;39.92205442
"TRIESTE";13.74835108;45.63431526
"TROPEA";15.90589019;38.68493013
"USTICA";13.19961937;38.70316721
"VADA";10.44249558;43.35017529
"VALLETTA MALTA";14.54176105;35.90352134
"VARAZZE";8.578692245;44.35272776
"VASTO";14.72639083;42.12958852
"VATHY";26.93475075;37.79342732
"VENEZIA";12.43401254;45.40249636
"VENTOTENE";13.43737939;40.79800322
"VIAREGGIO";10.23891999;43.8613546
"VIBO VALENTIA";16.12807684;38.72127613
"VIESTE";16.17531837;41.88624077
"VILLA SAN GIOVANNI CALABRIA";15.62830095;38.22032823
"VILLASIMIUS";9.549382334;39.1162503
"VILLEFRANCHE SUR MER";7.312034519;43.69245693
"VINAROZ";0.480671207;40.45373297
"VLICHADA";25.43564553;36.33410638
"VOLANO";12.27961882;44.79454815
"VOLTRI";8.752509235;44.42147929
"ZAKYNTHOS";20.912799;37.79964423
"ZYGI";33.34635859;34.71584434
